"XX" "YY" "ZZ"
8.27832966120661 0 1
7.96710878350908 1 1
7.82066431881265 1 1
8.4467321475094 1 1
9.47888574419375 0 1
8.78461348679099 1 1
9.28180932998342 0 1
7.38165673247399 1 1
6.88065508079533 1 1
7.23197736452759 1 1
7.3284620685415 1 1
7.44415331075333 1 1
9.83132024676477 1 1
8.73448097983358 0 1
7.50062223716016 1 1
8.82251895392579 1 1
9.28398370322587 1 1
11.4046008902569 1 1
9.39374072088732 1 1
7.85826547973768 1 1
7.42662216054607 1 1
10.2697856743564 0 1
7.60730305680305 1 1
9.71785686233872 0 1
8.40663249906833 1 1
9.93896715368634 0 1
8.95137279633455 1 1
8.4337040231214 0 1
11.1120329865636 1 1
10.8648516146139 1 1
8.99685280660553 1 1
8.81849241984808 0 1
7.8839391987319 1 1
8.41432240764095 1 1
7.81225994150541 1 1
7.56777292880848 1 1
8.90289918765435 1 1
7.22058815158386 1 1
7.732286631502 0 1
7.50003371214447 1 1
9.4794625848812 1 1
7.99258428565086 1 1
9.6854825526757 0 1
8.57696633829324 1 1
8.62667097733804 1 1
8.53818786889353 1 1
7.74431955408516 1 1
8.6898779211671 1 1
7.70938850891747 1 1
7.8326173493858 1 1
7.68710723377155 1 1
9.10016736619222 1 1
8.95519674774874 1 1
7.40573885477272 1 1
8.33559670338473 1 1
8.15647498191976 1 1
8.05581782346472 1 1
7.03957889889613 1 1
9.27055077381275 1 1
8.12262820884788 0 1
9.4613369458338 1 1
7.90495956488667 1 1
7.28363852214767 0 1
8.1617989737959 1 1
10.7196223958529 1 1
7.56845800038796 1 1
10.9912269545811 1 1
8.06522284930283 1 1
7.43823629450991 1 1
7.34850382572785 0 1
7.21247531575883 0 1
7.35998316622918 1 1
8.23381878822413 1 1
7.53333601352674 0 1
8.45949175852993 1 1
8.66926366845462 1 1
9.0965472171818 1 1
10.3668917824557 1 1
7.6413815441148 1 1
8.00515530772955 1 1
8.24301868881472 1 1
9.87527406471082 1 1
7.6744664895363 1 1
7.64236828387278 1 1
8.36346395109713 1 1
7.7982930398034 1 1
7.62030543363885 1 1
8.37559219788203 1 1
8.63987054622913 1 1
10.0018153834796 1 1
7.47278120517133 0 1
7.83035743302597 1 1
7.74783021194457 1 1
7.1568079245716 1 1
7.15657532359623 1 1
7.82066431881265 1 1
7.46217057134675 1 1
7.33434055094534 1 1
8.35538351305587 0 1
8.35241553257564 1 1
7.19165415753813 1 1
7.6808095462235 1 1
7.59454951191441 0 1
7.37907274706226 1 1
8.8571007426815 1 1
7.70281284428066 0 1
7.58215413709022 1 1
7.41152611568117 1 1
7.35750721486116 1 1
7.21461430557603 1 1
9.27474011651116 0 1
7.52232948373045 0 1
8.44720305632148 1 1
7.71434778400454 1 1
8.30341569019305 1 1
8.6698431754972 1 1
9.35154686369373 0 1
8.78125741321964 0 1
11.5831810653793 1 1
9.05229065134932 0 1
9.10250862554557 0 1
7.80211094394 1 1
